"set_counts.year","set_counts.station","set_counts.lat","set_counts.lon","set_counts.E_it","set_counts.N_it","set_counts.C_it","set_counts.E_it20","set_counts.N_it20","set_counts.C_it20","set_counts.usable"
1996,"11215",52.3333333333333,-130.0025,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11216",52.4,-130.669166666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11217",52.265,-130.6675,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11218",52.1983333333333,-130.5,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11219",52.1983333333333,-130.830833333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11220",52.7983333333333,-129.833333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11221",52.7983333333333,-130.166666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11222",52.7316666666667,-130,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11223",52.6,-130,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11224",52.7983333333333,-130.665,4.9390001,1,0.202470131555575,NA,NA,NA,"Y"
1996,"11225",52.6666666666667,-130.665,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11226",52.6,-130.4975,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11227",52.6,-130.83,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11228",52.7983333333333,-131.168333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11229",52.7316666666667,-131.33,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11230",52.6,-131.331666666667,4.9390001,9,1.82223118400018,NA,NA,NA,"Y"
1996,"11231",53.1983333333333,-130.165833333333,4.9390001,5,1.01235065777788,NA,NA,NA,"Y"
1996,"11232",53.1333333333333,-130.333333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11233",53,-130.33,4.9390001,0,0,NA,NA,NA,"Y"
1996,"11234",53,-130.663333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12111",52.7983333333333,-131.4975,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12112",53.1983333333333,-130.4975,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12113",53.1983333333333,-130.833333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12114",53.0666666666667,-130.8325,4.9390001,1,0.202470131555575,NA,NA,NA,"Y"
1996,"12115",53,-130.996666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12116",53.1983333333333,-131.331666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12117",53.1833333333333,-131.496666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12118",53.1333333333333,-131.448333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12119",52.9666666666667,-131.4975,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12120",53.6,-130.666666666667,4.9390001,22,4.45434289422266,NA,NA,NA,"Y"
1996,"12121",53.6,-131.000833333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12122",53.5316666666667,-130.835,4.9390001,10,2.02470131555575,NA,NA,NA,"Y"
1996,"12123",53.4,-130.833333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12124",53.6,-131.498333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12125",53.465,-131.496666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12126",53.4,-131.333333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12127",53.4,-131.669166666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"12128",53.7983333333333,-130.998333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13011",53.6,-133.121666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13012",53.5,-132.950833333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13013",53.4,-132.751666666667,4.9390001,1,0.202470131555575,NA,NA,NA,"Y"
1996,"13014",53.4,-132.9175,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13015",54,-133.333333333333,4.9390001,12,2.4296415786669,NA,NA,NA,"Y"
1996,"13016",53.8666666666667,-133.283333333333,4.9390001,13,2.63211171022248,NA,NA,NA,"Y"
1996,"13017",53.7983333333333,-133.169166666667,4.9390001,17,3.44199223644478,NA,NA,NA,"Y"
1996,"13018",53.7983333333333,-133.333333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13019",54.1983333333333,-133.1525,4.9390001,13,2.63211171022248,NA,NA,NA,"Y"
1996,"13111",54.4,-133.333333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13112",54.265,-133.330833333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13113",54.1983333333333,-133.5025,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13114",54.4025,-133.558333333333,5.0190001,0,0,NA,NA,NA,"Y"
1996,"13115",54.3175,-133.830833333333,5.0190001,0,0,NA,NA,NA,"Y"
1996,"13211",54.4,-131.996666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13212",54.265,-131.998333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13213",54.1983333333333,-131.8325,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13214",54.1983333333333,-132.1675,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13215",54.4,-132.5,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13216",54.3333333333333,-132.665,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13217",54.1983333333333,-132.6625,4.9390001,1,0.202470131555575,NA,NA,NA,"Y"
1996,"13311",54,-131.165833333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13312",53.9666666666667,-130.841666666667,4.9390001,1,0.202470131555575,NA,NA,NA,"Y"
1996,"13313",53.9333333333333,-130.998333333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13314",54.4,-131.160833333333,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13315",54.4,-131.496666666667,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13316",54.3333333333333,-131.33,4.9390001,0,0,NA,NA,NA,"Y"
1996,"13317",54.1983333333333,-131.3325,4.9390001,0,0,NA,NA,NA,"Y"
1996,"14211",54.4,-132.836666666667,4.9390001,0,0,NA,NA,NA,"Y"
1997,"9011",50.7998333333333,-128.834833333333,NA,NA,NA,1.2045783373494,1,0.8301660166,"Y"
1997,"9012",50.8000833333333,-128.997166666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9013",50.7334166666667,-128.88375,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9014",50.61675,-128.797833333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9015",51.0670833333333,-129.449333333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9016",51.0004166666667,-129.332416666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9017",51,-129.4985,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9111",51.1669166666667,-128.164666666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9112",51.06675,-128.166583333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9113",51.27775,-128.04025,NA,NA,NA,0.963662669879518,0,0,"Y"
1997,"9114",51.00025,-128.3,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9115",51.2000833333333,-128.699666666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9116",51.2000833333333,-128.96725,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9117",51.1335,-128.83425,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9118",51.03325,-128.836333333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9119",51.5665833333333,-128.499083333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9120",51.4668333333333,-128.499583333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9121",51.40025,-128.369416666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"9122",51.4001666666667,-128.6335,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10211",51.1668333333333,-129.498916666667,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10212",51.6,-129.03375,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10213",51.59975,-129.302166666667,NA,NA,NA,1.19454018453815,0,0,"Y"
1997,"10214",51.5333333333333,-129.168833333333,NA,NA,NA,1.2045783373494,2,1.6603320332,"Y"
1997,"10215",51.5665,-129.832083333333,NA,NA,NA,1.2045783373494,0,0,"Y"
1997,"10216",51.4669166666667,-129.832083333333,NA,NA,NA,1.2045783373494,0,0,"Y"
