,PFMA,YEAR,QBCatch,tonnes,annualEffort,totalEffort
259,PFMA 14,2007,18,0.01692,12363,12363
260,PFMA 15,2007,249,0.23406,2422,2422
261,PFMA 16,2007,1875,1.7625,3698,3698
262,PFMA 17,2007,1780,1.6732,6460,6460
263,PFMA 18,2007,563,0.52922,5829,5829
264,PFMA 19,2007,543,0.51042,12091,12091
265,PFMA 20,2007,942,0.88548,43970,43970
266,PFMA 28,2007,66,0.06204,6060,6060
267,PFMA 29,2007,8,0.00752,4520,4520
268,PFMA 12,2008,2071,1.94674,12914,12914
269,PFMA 13,2008,227,0.21338,18577,18577
270,PFMA 14,2008,76,0.07144,7653,7653
271,PFMA 15,2008,476,0.44744,1592,1592
272,PFMA 16,2008,3996,3.75624,3701,3701
273,PFMA 17,2008,585,0.5499,4751,4751
274,PFMA 18,2008,154,0.14476,2543,2543
275,PFMA 19,2008,412,0.38728,12549,12549
276,PFMA 20,2008,748,0.70312,39880,39880
277,PFMA 28,2008,191,0.17954,4958,4958
278,PFMA 29,2008,80,0.0752,3993,3993
279,PFMA 12,2009,2849,2.67806,15080,15080
280,PFMA 13,2009,1277,1.20038,19413,19413
281,PFMA 14,2009,145,0.1363,9970,9970
282,PFMA 15,2009,658,0.61852,1907,1907
283,PFMA 16,2009,1962,1.84428,2419,2419
284,PFMA 17,2009,2130,2.0022,11134,11134
285,PFMA 18,2009,469,0.44086,3818,3818
286,PFMA 19,2009,1112,1.04528,16270,16270
287,PFMA 20,2009,2032,1.91008,49980,49980
288,PFMA 29,2009,3,0.00282,4337,4337
289,PFMA 12,2010,2290,2.1526,14981,14981
290,PFMA 13,2010,196,0.18424,17846,17846
291,PFMA 14,2010,159,0.14946,7388,7388
292,PFMA 15,2010,136,0.12784,1153,1153
293,PFMA 16,2010,3392,3.18848,3533,3533
294,PFMA 17,2010,536,0.50384,8453,8453
295,PFMA 18,2010,350,0.329,2911,2911
296,PFMA 19,2010,857,0.80558,11492,11492
297,PFMA 20,2010,1662,1.56228,35235,35235
298,PFMA 12,2011,3436,3.22984,15376,15376
299,PFMA 13,2011,878,0.82532,23781,23781
300,PFMA 14,2011,97,0.09118,9587,9587
301,PFMA 15,2011,287,0.26978,3215,3215
302,PFMA 16,2011,855,0.8037,2504,2504
303,PFMA 17,2011,1062,0.99828,10627,10627
304,PFMA 18,2011,560,0.5264,6968,6968
305,PFMA 19,2011,755,0.7097,12362,12362
306,PFMA 20,2011,1614,1.51716,39437,39437
307,PFMA 29,2011,93,0.08742,9017,9017
308,PFMA 12,2012,1109,1.04246,12900,12900
309,PFMA 13,2012,4243,3.98842,23863,23863
310,PFMA 14,2012,684,0.64296,10961,10961
311,PFMA 15,2012,12,0.01128,1862,1862
312,PFMA 16,2012,589,0.55366,NA,NA
313,PFMA 17,2012,1162,1.09228,12622,12622
314,PFMA 18,2012,919,0.86386,5679,5679
315,PFMA 19,2012,1086,1.02084,16732,16732
316,PFMA 20,2012,1717,1.61398,32483,32483
317,PFMA 28,2012,26,0.02444,9161,9161
318,PFMA 29,2012,345,0.3243,8354,8354
319,PFMA 12,2013,916,0.86104,9396,9396
320,PFMA 13,2013,1531,1.43914,27956,27956
321,PFMA 14,2013,666,0.62604,25724,25724
322,PFMA 15,2013,226,0.21244,3736,3736
323,PFMA 16,2013,5982,5.62308,5033,5033
324,PFMA 17,2013,3872,3.63968,16090,16090
325,PFMA 18,2013,639,0.60066,7637,7637
326,PFMA 19,2013,758,0.71252,16157,16157
327,PFMA 20,2013,954,0.89676,38186,38186
328,PFMA 28,2013,0,0,8122,8122
329,PFMA 29,2013,22,0.02068,6429,6429
330,PFMA 12,2014,2402,2.25788,13036,13036
331,PFMA 13,2014,1616,1.51904,31680,31680
332,PFMA 14,2014,119,0.11186,17119,17119
333,PFMA 17,2014,199,0.18706,15532,15532
334,PFMA 18,2014,172,0.16168,3083,3083
335,PFMA 19,2014,250,0.235,14474,14474
336,PFMA 20,2014,1249,1.17406,37396,37396
337,PFMA 12,2015,2393,2.24942,12158,12158
338,PFMA 13,2015,847,0.79618,35145,35145
339,PFMA 14,2015,408,0.38352,19457,19457
340,PFMA 15,2015,498,0.46812,8044,8044
341,PFMA 16,2015,497,0.46718,11017,11017
342,PFMA 17,2015,940,0.8836,13689,13689
343,PFMA 18,2015,1414,1.32916,10685,10685
344,PFMA 19,2015,842,0.79148,19801,19801
345,PFMA 20,2015,854,0.80276,40113,40113
346,PFMA 28,2015,9,0.00846,11515,11515
347,PFMA 29,2015,121,0.11374,11188,11188
348,PFMA 12,2016,2899,2.72506,13600,13600
349,PFMA 13,2016,1417,1.33198,26187,26187
350,PFMA 14,2016,477,0.44838,16760,16760
351,PFMA 15,2016,539,0.50666,8406,8406
352,PFMA 16,2016,1182,1.11108,8980,8980
353,PFMA 17,2016,935,0.8789,13605,13605
354,PFMA 18,2016,1388,1.30472,6402,6402
355,PFMA 19,2016,415,0.3901,16563,16563
356,PFMA 20,2016,851,0.79994,32716,32716
357,PFMA 28,2016,22,0.02068,10003,10003
358,PFMA 29,2016,223,0.20962,13402,13402
359,PFMA 12,2017,2127,1.99938,13737,13737
360,PFMA 13,2017,1735,1.6309,30564,30564
361,PFMA 14,2017,667,0.62698,23494,23494
362,PFMA 15,2017,798,0.75012,9739,9739
363,PFMA 16,2017,2967,2.78898,12209,12209
364,PFMA 17,2017,1609,1.51246,15822,15822
365,PFMA 18,2017,2398,2.25412,10546,10546
366,PFMA 19,2017,956,0.89864,13452,13452
367,PFMA 20,2017,1716,1.61304,34152,34152
368,PFMA 28,2017,1,0.00094,8410,8410
369,PFMA 29,2017,378,0.35532,18122,18122
370,PFMA 12,2018,3164,2.97416,16676,16676
371,PFMA 13,2018,2152,2.02288,32349,32349
372,PFMA 14,2018,599,0.56306,19566,19566
373,PFMA 15,2018,249,0.23406,9845,9845
374,PFMA 16,2018,1770,1.6638,9085,9085
375,PFMA 17,2018,580,0.5452,12524,12524
376,PFMA 18,2018,408,0.38352,6261,6261
377,PFMA 19,2018,1077,1.01238,18902,18902
378,PFMA 20,2018,1195,1.1233,38514,38514
379,PFMA 29,2018,138,0.12972,28483,28483
380,PFMA 12,2019,2716,2.55304,11207,11207
381,PFMA 13,2019,3435,3.2289,20710,20710
382,PFMA 14,2019,1482,1.39308,17645,17645
383,PFMA 15,2019,971,0.91274,6081,6081
384,PFMA 16,2019,2875,2.7025,7204,7204
385,PFMA 17,2019,440,0.4136,9130,9130
386,PFMA 18,2019,234,0.21996,3027,3027
387,PFMA 19,2019,1720,1.6168,14174,14174
388,PFMA 20,2019,3074,2.88956,31627,31627
389,PFMA 28,2019,1,0.00094,4314,4314
390,PFMA 29,2019,200,0.188,14754,14754
391,PFMA 12,2020,1257,1.18158,6505,6505
392,PFMA 13,2020,2602,2.44588,16151,16151
393,PFMA 14,2020,1421,1.33574,19852,19852
394,PFMA 15,2020,377,0.35438,3317,3317
395,PFMA 16,2020,4351,4.08994,7333,7333
396,PFMA 17,2020,435,0.4089,8122,8122
397,PFMA 18,2020,556,0.52264,3334,3334
398,PFMA 19,2020,954,0.89676,8393,8393
399,PFMA 20,2020,1175,1.1045,31835,31835
400,PFMA 29,2020,99,0.09306,9338,9338
